"id","svf","lat","lon","boxID","curve","curveMax","x","y","tpii","ele","slp","asp","slpMax","eleMean","eleMean5","st_type","st_type2","x.1","y.1"
"1",1,1,46.4836006164551,6.98821973800659,16,0.00209999992512167,0.00310000008903444,565345,147990,149.090484619141,1987.58996582031,19.2174492770518,0.585196627543235,79.2457945242122,917.536010742188,1409.63684082031,"w",1,565345,147990
"2",2,0.975659012794495,46.4898834228516,6.99412059783936,16,0.00039999998989515,0.00310000008903444,565802,148686,21.1248321533203,1707.21105957031,2.12308596976642,183.161726896512,79.2457945242122,917.536010742188,1409.63684082031,"s",2,565802,148686
"3",3,0.999997019767761,47.1710777282715,9.13671779632568,12,0.00329999998211861,0.00340000004507601,728640,225700,190.761596679688,1929.90905761719,19.2367001652275,274.571938068355,78.3405212516187,971.990478515625,1388.4423828125,"w",1,728640,225700
"4",4,0.940752029418945,47.1721687316895,9.14810085296631,12,0.00179999996908009,0.00340000004507601,729500,225840,97.8334350585938,1608.09204101562,12.6743303965338,229.876955988976,78.3405212516187,971.990478515625,1388.4423828125,"s",2,729500,225840
"5",5,0.999373972415924,46.1520614624023,7.58754634857178,17,0.00219999998807907,0.00499999988824129,611430,111050,121.457672119141,2893.17797851562,17.1355666368969,333.316755874234,80.775592973755,2035.88342285156,2285.35302734375,"w",1,611430,111050
"6",6,0.988736987113953,46.1899032592773,7.53609180450439,17,0.000600000028498471,0.00499999988824129,607450,115250,36.8730163574219,2643.71899414062,3.56906775290938,199.690333895458,80.775592973755,2035.88342285156,2301.08959960938,"s",2,607450,115250
"7",7,0.967108011245728,46.1227111816406,7.65694522857666,24,-0.00109999999403954,0.00499999988824129,616800,107800,-66.7237243652344,2590.47412109375,7.3230820875039,198.141684123806,80.775592973755,2035.88342285156,2356.78564453125,"s",2,616800,107800
"8",8,0.999435007572174,46.0365524291992,7.43609571456909,24,0.00150000001303852,0.00490000005811453,599730,98200,-7.16424560546875,3285.67797851562,18.5021406407493,245.29627196482,86.4937112336738,2769.09033203125,2781.40844726562,"w",1,599730,98200
"9",9,0.953445017337799,46.0302543640137,7.4466872215271,24,-0.000699999975040555,0.00490000005811453,600550,97500,-44.2991333007812,2851.81201171875,7.85800884292096,154.785583046289,86.4937112336738,2769.09033203125,2781.40844726562,"s",2,600550,97500
"10",10,0.999993026256561,46.5401725769043,8.52047061920166,18,0.0019000000320375,0.00350000010803342,682900,154750,170.963409423828,2957.30200195312,26.9971115813245,235.226086939363,78.4150044645177,2264.80590820312,2325.474609375,"w",1,682900,154750
"11",11,0.921162009239197,46.5353050231934,8.51189804077148,18,-0.00039999998989515,0.00350000010803342,682250,154200,-14.0638427734375,2447.291015625,18.0690605435936,164.293629842675,78.4150044645177,2264.80590820312,2344.93432617188,"s",2,682250,154200
"12",12,0.955664992332458,46.4924621582031,8.52303504943848,18,-0.00039999998989515,0.00350000010803342,683170,149450,-4.14117431640625,2103.00805664062,10.2684765161196,174.360481735817,81.7266968156793,1971.48474121094,2406.48779296875,"s",2,683170,149450
"13",13,0.967993974685669,46.3960723876953,7.97514533996582,18,-0.000500000023748726,0.00480000022798777,641186,138302,-37.6195068359375,2555.81396484375,4.19816211297,124.167607185928,84.453977690887,2124.396484375,2427.77001953125,"s",2,641186,138302
"14",14,0.99967497587204,46.4328079223633,10.0249300003052,20,0.00219999998807907,0.00460000010207295,798650,145520,157.149291992188,2953.80810546875,24.5483367921659,10.9818709919072,77.8764235578947,2303.07568359375,2523.185546875,"w",1,798650,145520
"15",15,0.982430994510651,46.421703338623,10.0302581787109,20,0.000300000014249235,0.00460000010207295,799100,144300,-13.9183959960938,2446.59594726562,5.01479105608095,316.588447804335,77.8764235578947,2303.07568359375,2204.67504882812,"s",2,799100,144300
"16",16,0.97360098361969,46.441333770752,9.91726207733154,20,-9.99999974737875e-05,0.00460000010207295,790350,146200,-43.3106079101562,2626.00708007812,3.94189085399018,310.714129948288,81.3714655071361,2467.73046875,2415.98901367188,"s",2,790350,146200
"17",17,0.996868014335632,46.550235748291,9.85505962371826,20,0.00240000011399388,0.00350000010803342,785200,158150,175.794860839844,2486.69897460938,4.61835065495413,160.883289069331,78.0540426272609,2284.30249023438,2152.11791992188,"w",1,785200,158150
"18",18,0.970435976982117,46.5406951904297,9.83806800842285,20,-0.000300000014249235,0.00350000010803342,783930,157050,-42.4023132324219,2518.19409179688,5.37367224696187,76.7496882316527,78.0540426272609,2284.30249023438,2152.11791992188,"s",2,783930,157050
"19",19,0.945650994777679,46.3295555114746,8.46081733703613,18,0.00219999998807907,0.00350000010803342,678630,131280,111.351654052734,2645.89794921875,45.3781376001639,303.250836883728,81.7266968156793,1971.48474121094,2129.47192382812,"w",1,678630,131280
"20",20,0.965403974056244,46.3352127075195,8.47196483612061,18,-0.000699999975040555,0.00350000010803342,679480,131920,-58.6805419921875,2309.39892578125,10.2118192431806,159.59064844815,81.7266968156793,1971.48474121094,2129.47192382812,"s",2,679480,131920
